playerID,HOF,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,ERA,AllStar,MVP,CyYoung,WorldSeriesMVP,GoldGlove
kremera01,0,143,85,308,247,134,14,10,5864.0,2108,816,122,483,516,,23.0,29.0,2,8330.0,36.0,950,,,3.757162346521146,,0.0,,,
kretllo01,0,27,47,199,104,22,3,1,2356.0,781,425,62,522,450,4.0,25.0,10.0,0,3586.0,43.0,479,,,4.870543293718167,0.0,0.0,,,
kreutfr01,0,8,18,78,32,2,1,1,632.0,194,103,24,109,151,5.0,11.0,4.0,1,932.0,12.0,115,,,4.400316455696203,0.0,0.0,0.0,0.0,0.0
kristho01,0,37,11,128,37,15,2,6,1333.0,408,164,20,158,150,,5.0,8.0,1,1863.0,51.0,176,,,3.3218304576144035,0.0,0.0,,,
krivdri01,0,11,16,72,36,1,0,0,775.0,297,160,39,117,165,6.0,7.0,8.0,7,1153.0,10.0,168,,,5.574193548387097,0.0,0.0,0.0,0.0,0.0
krockgu01,0,32,26,60,59,56,4,0,1516.0,537,196,34,110,209,,16.0,12.0,0,2046.0,1.0,311,,,3.490765171503958,,,,,
krollga01,0,6,7,71,13,1,0,1,478.0,147,75,18,91,138,0.0,6.0,7.0,7,719.0,25.0,84,,,4.2364016736401675,0.0,0.0,0.0,0.0,0.0
kruegbi01,0,68,66,301,164,9,2,4,3583.0,1305,577,104,493,639,32.0,70.0,24.0,10,5257.0,34.0,685,,,4.348032375104661,0.0,0.0,0.0,0.0,0.0
krukomi01,0,124,117,369,355,41,10,1,6571.0,2188,949,196,767,1478,84.0,71.0,47.0,22,9393.0,4.0,1069,,,3.899406483031502,1.0,0.0,0.0,0.0,0.0
kucabjo01,0,5,5,59,3,2,0,6,456.0,169,75,18,51,48,,2.0,2.0,0,658.0,35.0,84,,,4.440789473684211,0.0,0.0,,,
kucekja01,0,7,16,59,27,3,0,2,617.0,232,117,25,111,121,4.0,6.0,4.0,0,945.0,14.0,139,,,5.119935170178282,0.0,0.0,0.0,0.0,0.0
kucksjo01,0,54,56,207,123,30,7,7,2815.0,970,427,91,308,338,12.0,12.0,39.0,1,4030.0,39.0,493,,,4.095559502664298,1.0,0.0,,,
kunkebi01,0,6,6,89,2,0,0,4,428.0,153,68,17,49,83,5.0,8.0,0.0,0,623.0,39.0,80,,,4.289719626168225,0.0,0.0,0.0,0.0,0.0
kushem01,0,21,12,150,8,2,1,12,1039.0,324,134,24,158,150,,8.0,10.0,3,1481.0,78.0,146,,,3.482194417709336,0.0,0.0,,,
kutynma01,0,14,16,159,6,0,0,8,870.0,301,125,28,108,110,7.0,6.0,2.0,2,1263.0,88.0,154,,,3.8793103448275863,0.0,0.0,0.0,0.0,
kuzavbo01,0,49,44,213,99,34,7,13,2586.0,849,388,54,415,446,2.0,18.0,8.0,1,3748.0,58.0,427,,,4.0510440835266825,0.0,0.0,,,
labincl01,0,77,56,513,38,7,2,96,3239.0,1043,435,81,396,551,54.0,27.0,11.0,0,4577.0,288.0,492,,,3.626119172584131,2.0,0.0,0.0,0.0,
laceybo01,0,20,29,284,2,1,1,22,1352.0,464,184,49,139,251,41.0,20.0,3.0,4,1916.0,131.0,213,,,3.6745562130177514,0.0,0.0,0.0,0.0,0.0
lachema01,0,7,4,70,0,0,0,5,306.0,103,39,7,38,55,8.0,6.0,4.0,0,435.0,24.0,46,,,3.4411764705882355,0.0,0.0,0.0,0.0,0.0
lacorfr01,0,23,44,253,32,1,0,26,1470.0,457,273,49,258,372,26.0,26.0,10.0,2,2159.0,125.0,297,,,5.014285714285714,0.0,0.0,0.0,0.0,0.0
lacosmi01,0,98,103,415,243,26,9,12,5219.0,1786,777,99,725,783,86.0,55.0,29.0,23,7496.0,61.0,885,,,4.019735581529028,1.0,0.0,0.0,0.0,0.0
laddpe01,0,17,23,205,1,0,0,39,861.0,275,132,40,96,209,14.0,11.0,9.0,0,1218.0,139.0,147,,,4.139372822299651,0.0,0.0,0.0,0.0,0.0
ladedo01,0,25,29,126,64,20,2,3,1612.0,583,262,47,221,178,,13.0,7.0,2,2376.0,27.0,298,,,4.38833746898263,0.0,0.0,,,
lafited01,0,37,35,106,75,47,1,5,1940.0,668,240,18,262,262,,25.0,25.0,2,2001.0,28.0,333,,,3.3402061855670104,,,,,
lagrole01,0,34,55,309,67,19,2,54,2337.0,814,356,74,312,375,27.0,37.0,12.0,4,3385.0,140.0,420,,,4.112965340179717,0.0,0.0,0.0,0.0,0.0
lahtije01,0,17,11,205,1,0,0,20,858.0,252,99,14,111,137,42.0,7.0,5.0,4,1192.0,73.0,109,,,3.1153846153846154,0.0,0.0,0.0,0.0,0.0
lakejo01,0,62,90,199,139,95,8,5,3954.0,1329,417,19,332,594,,33.0,20.0,1,5443.0,52.0,669,,,2.8474962063732927,,,,,
lamabja01,0,33,41,285,49,7,3,15,2135.0,753,335,67,238,434,40.0,28.0,11.0,4,3079.0,81.0,375,,,4.236533957845433,0.0,0.0,0.0,0.0,0.0
lamaswa01,0,19,27,71,42,11,2,4,886.0,352,191,32,116,173,,1.0,5.0,0,1329.0,17.0,203,,,5.820541760722348,,0.0,,,
lambra01,0,20,23,154,31,3,1,4,1272.0,417,167,29,174,258,27.0,18.0,8.0,4,1822.0,35.0,183,,,3.544811320754717,0.0,0.0,0.0,0.0,0.0
lampde01,0,96,96,639,163,21,7,35,5492.0,1975,799,122,549,857,86.0,44.0,35.0,14,7823.0,173.0,915,,,3.928077203204661,0.0,0.0,0.0,0.0,0.0
lanahdi01,0,6,13,56,13,4,0,2,456.0,177,87,13,75,62,,3.0,6.0,1,704.0,22.0,101,,,5.151315789473684,0.0,0.0,,,
