playerID,HOF,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,ERA,Name,Mitchell-Report,Positive-Test
rommeed01,0,171,119,500,249,147,18,29,7669,2729,1006,138,724,599,,34,31,5,10873,182,1213,,,3.5417916286,Eddie Rommel,0,0
romoen01,0,44,33,350,3,0,0,52,1809,548,231,57,203,436,39,13,15,11,2509,172,259,,,3.447761194,Enrique Romo,0,0
romose01,0,31,26,475,0,0,0,80,1227,305,117,34,82,465,12,11,17,0,1620,174,127,15,4,2.5745721271,Sergio Romo,0,0
romovi01,0,32,33,335,32,4,1,52,1937,569,241,61,280,416,48,20,8,5,2738,160,269,,,3.3593185338,Vicente Romo,0,0
rondobr01,0,2,2,65,0,0,0,6,179,59,31,5,30,66,1,9,2,1,267,27,33,4,4,4.6759776536,Bruce Rondon,0,0
rondohe01,0,12,9,181,0,0,0,59,564,159,59,12,55,176,7,9,6,1,778,105,69,7,5,2.8244680851,Hector Rondon,0,0
rookeji01,0,103,109,319,255,66,15,7,5431,1694,696,128,703,976,55,55,18,6,7668,23,814,,,3.4601362548,Jim Rooker,0,0
rootch01,0,201,160,632,341,177,21,40,9592,3252,1274,187,889,1459,,22,79,3,13529,185,1467,,,3.5861134279,Charlie Root,0,0
roquera01,0,5,8,56,18,0,0,1,413,145,82,26,73,104,2,7,5,2,621,8,86,0,1,5.3607748184,Rafael Roque,0,0
rosadjo01,0,37,45,125,112,11,2,1,2161,715,342,86,237,484,7,24,22,5,3083,1,383,1,1,4.2730217492,Jose Rosado,0,0
rosalle01,0,5,2,76,0,0,0,0,275,97,51,9,36,61,5,6,1,0,402,17,52,2,7,5.0072727273,Leo Rosales,0,0
rosarsa02,0,3,2,53,0,0,0,0,148,60,27,3,23,28,5,2,0,0,227,16,28,3,2,4.9256756757,Sandy Rosario,0,0
rosebr01,0,15,23,68,54,0,0,0,853,331,185,56,110,151,12,11,10,1,1287,4,197,3,6,5.8558030481,Brian Rose,0,0
