playerID,HOF,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,ERA,Name
dettoto01,0,8,11,68,15,0,0,0,539,196,104,16,78,106,11.0,5.0,18.0,1,814.0,23.0,123,,,5.2096474954000005,Tom Dettore
detwiro01,0,21,37,173,76,1,0,1,1588,575,247,50,190,326,13.0,17.0,27.0,1,2321.0,25.0,288,30.0,15.0,4.1996221662,Ross Detwiler
devinad01,0,26,22,217,12,0,0,31,1162,455,181,34,135,194,33.0,6.0,11.0,4,1729.0,92.0,200,,,4.2056798623,Adrian Devine
devinjo01,0,8,3,93,0,0,0,1,265,62,27,3,48,89,6.0,5.0,3.0,1,371.0,20.0,31,3.0,4.0,2.7509433962,Joey Devine
devliji01,0,72,76,157,153,151,9,0,4215,1437,320,7,89,273,,34.0,,0,4896.0,0.0,776,,,2.0498220641,Jim Devlin
deweyma01,0,12,7,205,0,0,0,8,747,243,101,18,102,168,22.0,5.0,11.0,2,1066.0,70.0,105,,,3.6506024096,Mark Dewey
diamosc01,0,19,27,58,58,1,1,0,1029,398,169,41,84,161,9.0,18.0,5.0,0,1471.0,0.0,189,6.0,11.0,4.4344023324,Scott Diamond
diazca01,0,13,6,179,0,0,0,4,774,249,92,17,97,207,29.0,7.0,1.0,0,1103.0,77.0,107,,,3.2093023256,Carlos Diaz
diazju03,0,2,2,97,0,0,0,1,285,87,41,12,32,107,7.0,6.0,3.0,1,397.0,28.0,42,3.0,4.0,3.8842105263,Jumbo Diaz
dibblro01,0,27,25,385,0,0,0,89,1431,332,158,27,238,645,25.0,36.0,12.0,3,1979.0,204.0,169,,,2.9811320755,Rob Dibble
dickele01,0,19,27,89,55,22,4,1,1289,443,191,20,218,135,,15.0,6.0,2,1913.0,23.0,249,,,4.0007757952,Leo Dickerman
dickera01,0,100,93,339,240,15,6,2,5142,1671,756,210,533,1215,22.0,73.0,74.0,9,7248.0,34.0,819,52.0,53.0,3.9696616102999998,R. A. Dickey
dickmem01,0,22,15,125,24,6,1,8,1049,403,207,38,153,126,,8.0,11.0,4,1585.0,45.0,243,,,5.3279313632,Emerson Dickman
dicksja01,0,26,25,73,63,2,1,0,1191,474,220,60,122,214,5.0,11.0,15.0,2,1750.0,6.0,242,1.0,0.0,4.9874055416,Jason Dickson
dicksji01,0,5,3,109,1,0,0,3,427,135,69,10,77,86,10.0,9.0,2.0,3,630.0,41.0,85,,,4.3629976581,Jim Dickson
dicksmu01,0,172,181,625,338,149,27,23,9157,3029,1240,302,1058,1281,18.0,34.0,37.0,2,12936.0,147.0,1431,,,3.6562192857999998,Murry Dickson
dickswa01,0,26,50,134,79,40,4,2,2100,759,280,17,222,202,,10.0,8.0,0,2814.0,37.0,381,,,3.6,Walt Dickson
diekmja01,0,9,11,217,0,0,0,0,585,178,79,11,102,245,10.0,12.0,9.0,1,868.0,44.0,96,5.0,8.0,3.6461538462,Jake Diekman
